"球员","所属球队","出场.替补.","出场时间","进球.点.","分钟.球","射门","射正","入球转化率","被侵犯","越位","最佳","生日","惯用脚","国籍","合同截止期","位置","铲断","拦截","解围","偷球","封堵","头球","犯规","总传球","传球成功率","关键传球","助攻","分钟.助攻","长传","直塞","带球摆脱","联赛","名次","身价"
"托马斯","阿拉维斯","24(6)",1472,"5",294.4,32,9,"15.6%",13,11,1,"1992-08-25","右脚","西班牙","2019-06-30","前锋",15,5,11,15,5,47,41,308,0.627,8,1,1472,10,0,5,"西甲",100,180
"M.加西亚","阿拉维斯","34(9)",2325,"2",1162.5,30,7,"6.7%",53,4,0,"1986-04-26","左脚","西班牙","2019-06-30","中场",83,26,59,27,7,107,62,932,0.739,12,1,2325,85,0,12,"西甲",100,162
"马丁阿古拉甘","阿拉维斯","26(3)",2043,"0",0,1,0,"0%",28,0,0,"1996-05-10","右脚","西班牙","2022-06-30","后卫",42,26,56,10,11,20,24,717,0.688,8,0,0,123,0,25,"西甲",100,135
"伊利","阿拉维斯","5",431,"0",0,2,1,"0%",2,0,0,"1993-11-03","右脚","巴西、意大利","2021-06-30","后卫",7,8,25,0,7,24,7,158,0.696,2,0,0,43,0,0,"西甲",100,540
"迭戈.罗兰","阿拉维斯","15(10)",507,"0",0,10,2,"0%",17,0,0,"1993-03-24","右脚","乌拉圭、意大利","2019-06-30","前锋",13,4,8,15,0,9,10,164,0.78,5,0,0,7,0,12,"西甲",100,315
"高美思","阿拉维斯","5(3)",278,"0",0,2,0,"0%",3,0,0,"1997-01-09","左脚","西班牙","2021-06-30","后卫",11,7,9,0,0,5,9,81,0.691,0,0,0,13,0,1,"西甲",100,90
"鲁本.杜阿尔特","阿拉维斯","33",2841,"0",0,23,8,"0%",61,1,0,"1995-10-18","左脚","西班牙","2020-06-30","后卫",73,58,110,6,12,54,35,927,0.673,26,0,0,249,0,5,"西甲",100,180
"薜慕","阿拉维斯","30(2)",2528,"2",1264,13,3,"15.4%",37,0,1,"1990-01-23","右脚","西班牙","2021-06-30","后卫",56,50,132,15,12,49,19,817,0.796,10,2,1264,138,0,15,"西甲",100,180
"圭德蒂","阿拉维斯","19(13)",593,"2",296.5,9,4,"22.2%",2,0,0,"1992-04-15","右脚","瑞典","2022-06-30","前锋",3,2,6,5,0,16,12,136,0.684,9,1,593,4,0,1,"西甲",100,360
"P.特武马西","阿拉维斯","10(10)",149,"0",0,3,2,"0%",1,1,0,"1994-05-09","右脚","加纳","2022-06-30","中场",4,1,2,6,0,4,7,48,0.771,2,0,0,7,0,1,"西甲",100,252
"干贵士","阿拉维斯","20(5)",1212,"2",606,29,9,"6.9%",28,1,0,"1988-06-02","右脚","日本","2019-06-30","中场",16,5,4,18,0,4,13,348,0.799,7,0,0,26,6,22,"西甲",100,450
"拉瓜迪亚","阿拉维斯","36",3240,"1",3240,17,4,"5.9%",14,2,0,"1989-11-05","右脚","西班牙","2020-06-30","后卫",48,52,218,4,19,78,25,1265,0.709,7,2,1620,363,1,0,"西甲",100,162
"帕切科","阿拉维斯","35",3150,"0",0,0,0,"0%",4,0,2,"1992-05-18","左脚","西班牙","2020-06-30","守门员",0,1,37,0,0,8,0,956,0.524,3,0,0,775,0,0,"西甲",100,810
"托雷斯丹尼尔","阿拉维斯","2(1)",71,"0",0,0,0,"0%",1,0,0,"1993-06-28","右脚","哥伦比亚",NA,"后卫",1,2,0,1,0,1,1,15,0.867,0,0,0,0,0,0,"西甲",100,0
"J.卡莱里","阿拉维斯","34(1)",2878,"9(2)",411.1,81,20,"8.6%",69,15,7,"1993-09-23","右脚","阿根廷、意大利","2019-06-30","前锋",20,5,52,76,7,200,69,689,0.592,30,2,1439,33,2,40,"西甲",100,540
"W.梅巴拉克","阿拉维斯","28(10)",1619,"1",1619,29,5,"3.4%",29,1,0,"1990-07-25","左脚","加纳","2020-06-30","中场",46,13,18,17,9,19,31,623,0.774,7,1,1619,110,0,17,"西甲",100,108
"G.洛沙","阿拉维斯","23(1)",2008,"2",1004,15,4,"13.3%",10,1,3,"1994-05-06","右脚","智利","2021-06-30","后卫",48,37,129,1,19,95,16,709,0.756,3,2,1004,187,1,2,"西甲",100,1350
"布尔吉","阿拉维斯","16(11)",548,"1",548,8,2,"12.5%",20,3,0,"1993-10-29","右脚","西班牙","2021-06-30","中场",9,0,0,3,0,6,10,198,0.798,12,0,0,18,0,5,"西甲",100,162
"安东尼奥.西弗拉","阿拉维斯","3",270,"0",0,0,0,"0%",0,0,0,"1996-08-11","右脚","西班牙","2021-06-30","守门员",0,0,4,0,0,2,0,88,0.432,1,0,0,81,0,0,"西甲",100,90
"布拉萨纳奇","阿拉维斯","24(7)",1581,"0",0,9,1,"0%",14,0,0,"1992-02-12","右脚","塞尔维亚","2019-06-30","中场",30,16,19,17,3,32,34,607,0.796,9,1,1581,43,1,12,"西甲",100,180
"皮纳","阿拉维斯","28(1)",2343,"2",1171.5,12,3,"16.7%",52,1,0,"1987-10-14","右脚","西班牙","2021-06-30","中场",65,38,37,19,4,63,59,1055,0.827,22,0,0,65,0,11,"西甲",100,162
"J.梅内德斯","阿拉维斯","36(2)",2994,"4",748.5,53,22,"7.5%",31,13,2,"1991-07-09","左脚","西班牙","2019-06-30","中场",27,24,8,63,1,5,34,778,0.65,88,11,272.2,136,4,64,"西甲",100,180
"霍尔丁","阿森纳","10(1)",807,"0",0,2,0,"0%",2,0,1,"1995-09-20","右脚","英格兰","2023-06-30","后卫",11,10,38,2,8,21,6,613,0.873,2,0,0,56,0,3,"英超",21,630
"M.埃尔内尼","阿森纳","8(3)",379,"0",0,7,0,"0%",0,1,0,"1992-07-11","右脚","埃及","2022-06-30","中场",13,2,8,2,4,2,1,277,0.906,5,0,0,18,2,2,"英超",21,900
"拉姆塞","阿森纳","28(14)",1328,"4",332,33,14,"12.1%",20,4,0,"1990-12-26","双脚","威尔士","2019-06-30","中场",35,7,3,29,1,12,21,772,0.82,25,6,221.3,37,5,12,"英超",21,4050
"马夫罗帕诺斯","阿森纳","4(1)",149,"0",0,2,0,"0%",0,0,0,"1997-12-11","右脚","希腊","2023-06-30","后卫",1,5,6,0,1,2,2,138,0.928,1,0,0,14,0,2,"英超",21,270
